STUDYNO	EDITION	PART	IDNO	FIPS_ST	FIPS_CTY	CPOPARST	CPOPCRIM	AG_ARRST	AG_OFF	COVIND	VIOL	PROPERTY	MURDER	RAPE	ROBBERY	AGASSLT	BURGLRY	LARCENY	MVTHEFT	ARSON
9999	2	4	175	5	125	100337	45849	3	2	100	142	2037	0	23	23	96	392	1542	103	3
9999	2	4	176	5	127	10924	10924	2	2	100	24	215	2	5	1	16	115	93	7	2
9999	2	4	177	5	129	8056	8056	1	1	100	14	41	0	1	0	13	18	20	3	3
9999	2	4	178	5	131	123935	122813	5	4	100	798	5541	4	68	147	579	1304	4012	225	11
9999	2	4	179	5	133	16674	16674	2	2	100	37	479	0	4	2	31	167	288	24	2
9999	2	4	180	5	135	18850	9035	6	6	94.7381	11	218	1	4	0	6	75	132	10	1
9999	2	4	181	5	137	12203	12203	2	2	100	24	155	1	7	0	16	53	94	8	0
9999	2	4	182	5	139	43129	41261	3	2	100	253	1858	4	7	42	200	847	905	106	4
9999	2	4	183	5	141	16835	16682	3	3	100	42	255	0	5	0	37	44	192	19	3
9999	2	4	184	5	143	207305	201219	10	10	100	770	6211	2	130	64	574	1271	4638	302	34
9999	2	4	185	5	145	76021	76021	11	11	99.2103	207	2544	7	38	17	145	971	1386	187	11
9999	2	4	186	5	147	7341	3730	3	2	96.6041	8	67	0	0	1	7	15	52	0	2
9999	2	4	187	5	149	22157	22157	5	5	100	78	385	0	8	4	66	219	154	12	5
9999	2	4	188	6	1	1471974	1471974	26	22	100	11189	56348	138	553	5215	5283	11478	32102	12768	457
9999	2	4	189	6	3	1043	1043	2	2	100	13	62	0	1	1	11	11	49	2	0
9999	2	4	190	6	5	38462	38462	6	6	100	107	856	1	10	10	86	337	459	60	2
9999	2	4	191	6	7	221473	221473	13	10	100	932	6338	10	87	187	648	1733	3765	840	81
9999	2	4	192	6	9	47418	47418	5	5	100	84	788	1	16	14	53	284	405	99	8
9999	2	4	193	6	11	21413	21413	6	5	100	59	527	1	13	8	37	197	293	37	3
9999	2	4	194	6	13	1034973	1034973	30	26	100	4257	31065	89	200	1733	2235	7361	17212	6492	213
9999	2	4	195	6	15	29185	29185	3	3	100	108	643	1	22	11	74	230	340	73	5
9999	2	4	196	6	17	177704	177704	7	5	100	520	2650	3	50	71	396	932	1540	178	17
9999	2	4	197	6	19	918710	918710	24	21	99.227	4758	35478	71	178	1469	3040	7960	21995	5523	488
9999	2	4	198	6	21	28344	28344	5	5	100	54	566	0	2	10	42	177	340	49	0
9999	2	4	199	6	23	128844	128844	12	11	100	541	4045	8	33	117	383	1057	2513	475	51
9999	2	4	200	6	25	165988	165988	12	10	100	590	5642	3	18	99	470	1758	2944	940	44
9999	2	4	201	6	27	16993	16993	4	4	100	80	270	2	11	7	60	75	177	18	1
9999	2	4	202	6	29	814516	814516	17	14	100	4892	31445	75	205	1331	3281	9413	17034	4998	589
9999	2	4	203	6	31	151368	151368	10	8	81.778	697	3432	4	43	108	541	1028	2006	399	34
9999	2	4	204	6	33	65384	65384	5	4	100	277	1741	4	42	43	188	609	911	221	9
9999	2	4	205	6	35	34549	34549	6	4	100	96	355	1	6	9	80	101	229	25	11
9999	2	4	206	6	37	9863786	9863786	108	102	100	54747	241857	699	2114	24528	27406	50558	144589	46710	2774
9999	2	4	207	6	39	150856	150856	6	5	100	685	3170	3	36	162	484	1166	1484	520	18
9999	2	4	208	6	41	248066	248066	16	15	100	524	5421	4	38	145	337	1203	3634	584	39
9999	2	4	209	6	43	18008	18008	2	2	100	48	295	0	3	1	44	106	173	16	1
9999	2	4	210	6	45	85905	85905	8	7	100	520	1360	5	31	46	438	469	792	99	22
9999	2	4	211	6	47	249432	249432	13	11	100	1658	8310	26	78	276	1278	2318	5089	903	90
9999	2	4	212	6	49	9127	9127	4	4	100	10	120	0	1	0	9	44	69	7	1
9999	2	4	213	6	51	12717	12717	4	3	100	49	408	0	3	2	44	120	275	13	1
9999	2	4	214	6	53	407403	407403	19	18	100	2118	11204	51	125	657	1285	3151	6245	1808	90
9999	2	4	215	6	55	133996	133996	10	9	100	580	3116	1	34	93	452	716	2091	309	13
9999	2	4	216	6	57	97306	97306	7	6	100	289	1459	1	36	17	235	366	993	100	11
9999	2	4	217	6	59	3017883	3017883	45	41	100	7429	60694	69	456	2928	3976	10938	43511	6245	477
